-2.11,3.84,8.63,-3.43,-1.27,-0.38
-1.89,3.36,8.21,-3.48,-1.17,-0.25
-1.66,2.99,7.98,-3.51,-1.08,-0.14
-1.46,2.66,7.80,-3.53,-0.97,-0.05
-9.84,-2.64,-1.24,1.35,3.25,3.86
-11.58,-2.69,-1.31,1.44,3.17,3.68
-13.70,-2.99,-1.66,1.59,2.99,3.39
-15.07,-3.29,-2.04,1.73,2.82,3.14
-9.72,8.03,6.33,2.50,-1.65,-1.42
-9.50,8.16,6.50,2.38,-1.60,-1.56
-9.41,8.34,6.71,2.25,-1.54,-1.70
-2.12,3.18,6.52,-2.38,-0.95,-0.92
-1.93,2.93,6.25,-2.41,-0.90,-0.83
-1.88,2.69,6.00,-2.44,-0.84,-0.72
-1.95,2.43,5.80,-2.45,-0.79,-0.62
-6.21,0.23,-2.16,4.19,2.65,3.51
-6.55,1.01,-1.66,4.29,2.39,3.60
-6.69,1.55,-1.30,4.34,2.19,3.65
-6.70,2.09,-0.97,4.39,2.00,3.67
-10.75,15.88,1.85,4.50,1.90,3.31
-11.30,16.17,2.42,4.30,1.79,3.15
-11.84,16.57,2.94,4.08,1.70,2.96
-12.33,16.78,3.37,3.84,1.59,2.76
-6.00,8.95,-2.19,-0.20,-0.15,0.05
-5.96,8.78,-2.24,-0.21,-0.17,0.02
-5.91,8.60,-2.30,-0.22,-0.18,-0.02
-4.71,8.49,-1.52,-0.06,-0.07,0.06
-4.68,8.53,-1.51,-0.06,-0.06,0.05
-4.65,8.51,-1.54,-0.07,-0.05,0.03
-4.60,8.47,-1.57,-0.07,-0.03,0.02
-5.19,7.94,-2.17,-0.04,-0.02,-0.01
-5.19,7.90,-2.20,-0.04,-0.02,-0.02
-5.19,7.87,-2.20,-0.02,-0.01,-0.03
-5.17,7.86,-2.19,-0.02,-0.01,-0.04
-4.40,8.28,-1.75,0.01,0.01,0.01
-4.46,8.31,-1.70,0.01,0.01,0.03
-4.58,8.32,-1.64,0.00,0.01,0.04
-4.74,8.33,-1.59,-0.01,-0.00,0.06
-4.83,8.11,-1.87,-0.03,-0.05,0.01
-4.79,8.10,-1.89,-0.02,-0.05,0.00
-4.77,8.10,-1.93,-0.02,-0.03,-0.00
-4.81,8.35,-1.77,-0.00,-0.06,0.07
-4.79,8.31,-1.79,-0.00,-0.05,0.07
-4.79,8.28,-1.81,-0.01,-0.04,0.06
