1.12,-7.48,-7.91,0.02,-0.03,-0.01
1.15,-7.48,-7.87,0.02,-0.03,-0.01
1.12,-7.47,-7.86,0.02,-0.04,0.00
1.07,-7.56,-8.03,-0.03,-0.03,-0.02
1.07,-7.54,-8.02,-0.02,-0.03,-0.02
1.06,-7.52,-8.02,-0.00,-0.03,-0.01
1.02,-7.51,-7.99,0.01,-0.03,-0.01
1.02,-7.54,-7.92,0.08,-0.00,-0.04
1.00,-7.37,-7.72,0.10,0.00,-0.04
1.12,-7.27,-7.57,0.10,0.00,-0.03
1.07,-7.14,-7.43,0.09,-0.00,-0.02
0.97,-7.18,-7.56,0.03,-0.04,0.01
0.95,-7.14,-7.52,0.02,-0.04,0.01
0.95,-7.11,-7.49,0.00,-0.04,0.00
0.97,-7.14,-7.51,0.02,-0.06,0.02
1.05,-7.10,-7.44,-0.00,-0.07,0.03
1.02,-7.16,-7.54,-0.02,-0.08,0.04
0.88,-7.19,-7.64,-0.03,-0.07,0.03
1.04,-7.20,-7.52,-0.05,-0.06,0.01
1.04,-7.27,-7.60,-0.06,-0.06,0.01
1.04,-7.35,-7.71,-0.07,-0.05,0.01
1.05,-7.41,-7.82,-0.07,-0.05,0.01
1.03,-7.39,-7.80,-0.02,-0.05,0.01
1.04,-7.40,-7.82,-0.02,-0.05,0.01
1.05,-7.43,-7.87,-0.02,-0.05,0.01
1.01,-7.36,-7.72,0.01,-0.04,0.01
1.01,-7.34,-7.69,0.01,-0.04,0.00
1.02,-7.37,-7.73,0.00,-0.04,0.00
1.02,-7.42,-7.78,0.00,-0.04,0.00
1.01,-7.38,-7.79,-0.00,-0.04,-0.00
1.03,-7.39,-7.80,-0.00,-0.04,-0.00
1.04,-7.38,-7.82,-0.00,-0.04,0.00
1.04,-7.39,-7.84,0.00,-0.04,0.00
1.03,-7.41,-7.82,0.01,-0.04,0.00
1.03,-7.41,-7.81,0.01,-0.04,0.00
1.03,-7.40,-7.79,0.01,-0.04,0.00
1.01,-7.39,-7.78,0.01,-0.04,0.00
1.03,-7.35,-7.73,0.01,-0.05,0.01
1.03,-7.34,-7.74,-0.00,-0.05,0.01
1.01,-7.37,-7.78,-0.00,-0.05,0.01
1.00,-7.40,-7.81,0.01,-0.04,0.00
1.00,-7.39,-7.82,0.01,-0.05,0.00
1.01,-7.39,-7.83,0.01,-0.04,0.00
1.00,-7.39,-7.80,0.01,-0.04,0.00
