1.45,-7.38,-7.48,0.10,-0.00,-0.01
1.08,-7.13,-7.49,0.07,-0.03,0.04
0.79,-7.13,-7.45,0.07,-0.05,0.02
0.92,-7.21,-7.41,0.07,-0.06,0.01
1.10,-7.37,-7.64,0.02,-0.04,0.00
1.07,-7.34,-7.61,0.01,-0.04,0.00
1.06,-7.31,-7.57,0.00,-0.04,-0.00
1.06,-7.27,-7.52,-0.01,-0.04,-0.00
1.04,-7.29,-7.59,0.02,-0.04,0.00
1.07,-7.29,-7.60,0.01,-0.04,0.00
1.07,-7.29,-7.60,0.00,-0.05,0.00
1.08,-7.33,-7.62,0.01,-0.04,-0.00
1.07,-7.35,-7.61,0.01,-0.04,0.00
1.05,-7.34,-7.63,0.00,-0.05,0.01
1.11,-7.34,-7.64,-0.00,-0.05,0.01
1.04,-7.35,-7.68,-0.00,-0.05,0.01
1.06,-7.35,-7.66,-0.01,-0.05,0.01
1.07,-7.35,-7.67,-0.01,-0.05,0.01
1.07,-7.36,-7.69,-0.02,-0.05,0.01
1.05,-7.36,-7.75,-0.02,-0.05,0.01
1.07,-7.36,-7.74,-0.02,-0.05,0.01
1.07,-7.37,-7.75,-0.02,-0.05,0.01
1.06,-7.41,-7.75,0.02,-0.04,0.00
1.06,-7.41,-7.74,0.02,-0.04,0.00
1.05,-7.39,-7.74,0.02,-0.04,-0.00
1.04,-7.38,-7.74,0.02,-0.04,-0.00
1.05,-7.35,-7.74,0.01,-0.04,0.00
1.06,-7.36,-7.73,0.00,-0.04,0.00
1.05,-7.37,-7.73,0.00,-0.04,0.00
1.05,-7.38,-7.75,0.00,-0.04,0.00
1.04,-7.37,-7.74,0.01,-0.04,-0.00
1.06,-7.36,-7.73,0.01,-0.03,-0.01
1.05,-7.34,-7.73,0.01,-0.03,-0.01
1.07,-7.35,-7.72,0.00,-0.03,-0.01
1.02,-7.37,-7.74,-0.00,-0.05,0.01
1.05,-7.33,-7.72,-0.00,-0.05,0.01
1.08,-7.34,-7.69,-0.00,-0.05,0.01
1.03,-7.41,-7.79,0.01,-0.04,0.00
1.04,-7.39,-7.77,0.00,-0.04,0.00
1.05,-7.36,-7.77,0.00,-0.04,0.00
1.05,-7.37,-7.75,0.00,-0.04,0.00
1.02,-7.37,-7.75,0.01,-0.04,0.00
1.03,-7.38,-7.77,0.00,-0.04,0.00
1.04,-7.39,-7.79,0.00,-0.04,0.00
